Predictor, "Table Entries", "Trace File", "Total Traces", "Correct", "Correct %", "Incorrect", "Incorrect %", "Runtime (s)"
CS4202_P2::GSharePredictor, 4096, povray.out, 15024430, 14049465, 0.935108, 974965, 0.064892, 2.128386
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15024030, 14243790, 0.948067, 780240, 0.051933, 1.762987
CS4202_P2::GSharePredictor, 4096, povray.out, 15024030, 14049106, 0.935109, 974924, 0.064891, 2.120330
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15023530, 14243365, 0.948070, 780165, 0.051930, 1.769501
CS4202_P2::GSharePredictor, 4096, povray.out, 15023530, 14048698, 0.935113, 974832, 0.064887, 2.120123
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15022530, 14242476, 0.948074, 780054, 0.051926, 1.770856
CS4202_P2::GSharePredictor, 4096, povray.out, 15022530, 14047786, 0.935115, 974744, 0.064885, 2.118873
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15019530, 14240129, 0.948107, 779401, 0.051893, 1.762228
CS4202_P2::GSharePredictor, 4096, povray.out, 15019530, 14045657, 0.935160, 973873, 0.064840, 2.124972
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15014530, 14235777, 0.948133, 778753, 0.051867, 1.764741
CS4202_P2::GSharePredictor, 4096, povray.out, 15014530, 14041597, 0.935201, 972933, 0.064799, 2.124685
CS4202_P2::TwoBitPredictor, 4096, povray.out, 15004530, 14226359, 0.948138, 778171, 0.051862, 1.763821
CS4202_P2::GSharePredictor, 4096, povray.out, 15004530, 14032562, 0.935222, 971968, 0.064778, 2.120229
CS4202_P2::AlwaysTruePredictor, "", wrf.out, 14488676, 12470050, 0.860676, 2018626, 0.139324, 1.109729
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14488676, 14204982, 0.980420, 283694, 0.019580, 1.563718
CS4202_P2::GSharePredictor, 512, wrf.out, 14488676, 14105763, 0.973572, 382913, 0.026428, 1.896180
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14488576, 14204913, 0.980422, 283663, 0.019578, 1.575064
CS4202_P2::GSharePredictor, 512, wrf.out, 14488576, 14105703, 0.973574, 382873, 0.026426, 1.895298
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14488176, 14204535, 0.980423, 283641, 0.019577, 1.569109
CS4202_P2::GSharePredictor, 512, wrf.out, 14488176, 14105338, 0.973576, 382838, 0.026424, 1.902780
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14487676, 14204113, 0.980427, 283563, 0.019573, 1.570724
CS4202_P2::GSharePredictor, 512, wrf.out, 14487676, 14104915, 0.973580, 382761, 0.026420, 1.895412
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14486676, 14203216, 0.980433, 283460, 0.019567, 1.569794
CS4202_P2::GSharePredictor, 512, wrf.out, 14486676, 14103989, 0.973584, 382687, 0.026416, 1.929349
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14483676, 14200938, 0.980479, 282738, 0.019521, 1.567024
CS4202_P2::GSharePredictor, 512, wrf.out, 14483676, 14101902, 0.973641, 381774, 0.026359, 1.901398
CS4202_P2::TwoBitPredictor, 512, wrf.out, 14478676, 14196859, 0.980536, 281817, 0.019464, 1.565580
